order_id,customer_id,order_date,status,payment_method,total_amount
1,4349,2025-08-05,Cancelled,Net Banking,83297.4
2,7173,2025-02-08,Shipped,Net Banking,6033.51
3,657,2023-08-20,Delivered,Credit Card,181979.89
4,8686,2023-08-06,Shipped,Credit Card,30414.3
5,8349,2026-04-06,Delivered,UPI,182518.44
6,3282,2025-03-20,Pending,Net Banking,17111.56
7,8687,2023-06-06,Delivered,Debit Card,131197.1
8,466,2024-04-07,Delivered,Net Banking,196791.41
9,4523,2024-10-02,Cancelled,COD,180916.46
10,4278,2023-10-03,Pending,Debit Card,162239.11
11,2517,2024-08-21,Cancelled,Credit Card,181361.91
12,1852,2024-09-22,Shipped,Credit Card,94695.57
13,4703,2025-03-20,Delivered,Credit Card,20614.62
14,9972,2023-07-22,Pending,Debit Card,65664.47
15,272,2024-09-25,Shipped,UPI,92589.68
16,1614,2024-09-15,Shipped,COD,103981.82
17,3180,2024-10-16,Pending,UPI,74145.39
18,2447,2024-10-27,Delivered,Debit Card,13746.0
19,3452,2025-01-24,Delivered,Net Banking,51627.19
20,7892,2025-09-01,Cancelled,UPI,138407.96
21,6735,2024-06-11,Pending,Net Banking,123404.33
22,6785,2025-10-03,Pending,Debit Card,14589.84
23,5089,2026-03-25,Pending,Net Banking,19132.87
24,3823,2025-05-01,Shipped,Debit Card,185030.11
25,5882,2023-11-20,Pending,Credit Card,15739.35
26,1673,2024-01-17,Delivered,Debit Card,165215.96
27,1900,2024-11-01,Delivered,Credit Card,173371.98
28,7676,2023-07-02,Shipped,Net Banking,33555.68
29,5169,2025-03-24,Shipped,COD,58239.88
30,9103,2024-08-05,Cancelled,Net Banking,177582.09
31,6826,2026-01-11,Shipped,COD,46911.22
32,7461,2023-12-24,Cancelled,Debit Card,182754.77
33,8040,2024-03-27,Cancelled,Credit Card,184057.24
34,4109,2024-05-28,Shipped,Debit Card,99921.07
35,436,2023-10-15,Pending,Debit Card,93447.52
36,1785,2024-07-28,Pending,Credit Card,91244.39
37,4276,2024-08-06,Delivered,COD,66304.97
38,4259,2023-11-15,Pending,COD,30642.31
39,9200,2025-11-14,Delivered,UPI,6234.56
40,1077,2024-10-16,Pending,Debit Card,35631.1
41,7390,2025-12-18,Pending,Debit Card,17442.86
42,6745,2023-08-20,Cancelled,COD,176814.09
43,5756,2025-05-05,Shipped,Net Banking,172420.61
44,4640,2024-12-14,Cancelled,Net Banking,149672.79
45,6688,2025-01-23,Delivered,UPI,53930.99
46,7632,2023-07-10,Delivered,UPI,9925.68
47,9513,2026-01-15,Delivered,Net Banking,35722.61
48,8114,2025-08-24,Pending,UPI,196756.77
49,9936,2024-07-24,Cancelled,COD,1371.2
50,2150,2024-01-14,Cancelled,Credit Card,131251.75
51,7132,2025-03-18,Cancelled,Net Banking,156198.98
52,3424,2023-08-31,Cancelled,Debit Card,135044.71
53,7402,2024-12-30,Pending,COD,139562.97
54,5276,2026-02-06,Cancelled,COD,167292.48
55,835,2025-09-09,Delivered,COD,134775.13
56,1009,2024-02-09,Delivered,Debit Card,177884.66
57,1804,2026-02-08,Delivered,COD,39845.47
58,7822,2025-02-21,Pending,Credit Card,81101.17
59,2699,2026-03-24,Pending,COD,187462.52
60,277,2024-11-08,Cancelled,COD,70894.55
61,6631,2023-05-27,Delivered,Debit Card,177116.77
62,5874,2024-06-01,Delivered,UPI,55949.55
63,7318,2026-01-30,Delivered,UPI,7814.89
64,6394,2026-03-21,Pending,Credit Card,111833.13
65,2255,2023-07-20,Shipped,UPI,170666.82
66,929,2023-08-30,Shipped,Debit Card,182466.42
67,6241,2025-10-29,Delivered,Credit Card,120236.6
68,2658,2023-12-26,Pending,UPI,86952.76
69,9745,2025-03-03,Delivered,Net Banking,33019.54
70,1532,2024-01-21,Delivered,COD,122767.35
71,3605,2025-08-31,Pending,Credit Card,78705.12
72,1958,2026-04-22,Cancelled,Debit Card,24309.67
73,1381,2025-04-15,Delivered,COD,163307.8
74,6713,2026-02-11,Shipped,UPI,173046.86
75,8136,2025-05-24,Shipped,Debit Card,682.5
76,4780,2024-11-20,Cancelled,Credit Card,45657.4
77,8648,2023-06-21,Pending,UPI,32595.07
78,5089,2025-03-01,Pending,UPI,195508.06
79,4251,2023-10-31,Delivered,COD,77475.3
80,7324,2024-04-02,Shipped,Debit Card,142805.92
81,5966,2026-01-09,Shipped,COD,146616.94
82,551,2024-11-17,Pending,Debit Card,48811.21
83,8127,2023-11-14,Delivered,COD,73490.38
84,9332,2025-06-20,Shipped,Credit Card,144552.97
85,1884,2024-03-07,Delivered,Debit Card,135408.84
86,8342,2023-11-26,Delivered,Net Banking,181673.14
87,3852,2025-03-18,Shipped,Debit Card,64494.05
88,7959,2026-01-22,Pending,Credit Card,19676.63
89,9706,2025-12-05,Cancelled,Net Banking,91578.79
90,463,2023-12-05,Shipped,Net Banking,123691.59
91,1698,2024-09-19,Pending,COD,20258.69
92,3453,2026-02-17,Cancelled,Credit Card,117000.76
93,8556,2023-06-23,Shipped,COD,124706.61
94,4702,2026-04-10,Delivered,Debit Card,153217.95
95,4216,2025-06-26,Cancelled,COD,56580.09
96,6824,2023-07-16,Cancelled,Net Banking,17222.68
97,577,2025-09-04,Pending,UPI,39165.11
98,4107,2026-01-01,Pending,COD,39014.58
99,1957,2026-02-13,Cancelled,Debit Card,93368.24
100,9482,2024-05-30,Shipped,Debit Card,52579.32
101,8340,2025-06-17,Shipped,UPI,150203.51
102,5878,2024-07-11,Pending,Net Banking,150115.63
103,3232,2024-11-14,Cancelled,Debit Card,21083.71
104,7567,2024-01-24,Shipped,COD,177087.82
105,3482,2025-07-26,Pending,Net Banking,158161.94
106,3299,2023-09-04,Cancelled,COD,167313.24
107,6422,2025-10-13,Delivered,UPI,37204.27
