product_id,product_name,category_id,price,stock_quantity,brand,rating
1,Bluetooth Speaker 1,5,8809.95,422,Puma,3.2
2,Bluetooth Speaker 2,7,53666.58,345,Dell,4.7
3,Laptop Stand 3,3,33787.94,346,Nike,3.3
4,LED Monitor 4,2,87875.17,391,Apple,3.0
5,Phone Cover 5,2,90549.33,99,Sony,3.3
6,Wireless Mouse 6,5,91123.94,592,LG,3.5
7,Bluetooth Speaker 7,5,34411.87,825,LG,3.4
8,Jeans 8,11,52754.79,833,Dell,3.0
9,Air Fryer 9,7,68515.24,658,Philips,4.8
10,Backpack 10,9,66880.18,388,HP,3.1
11,Laptop Stand 11,12,82037.0,940,LG,4.3
12,Laptop Stand 12,6,33757.92,405,Apple,4.4
13,Protein Powder 13,10,77895.98,21,Nike,4.2
14,Kids Toy 14,1,89625.34,239,Boat,4.1
15,Bluetooth Speaker 15,11,28841.46,511,Nike,4.1
16,Laptop Stand 16,3,99196.58,460,Boat,4.5
17,Bluetooth Speaker 17,1,13559.29,202,Samsung,3.5
18,Kids Toy 18,11,27265.79,449,Boat,3.0
19,Jeans 19,2,51081.0,729,Apple,3.2
20,Wireless Mouse 20,9,37808.14,564,Boat,3.1
21,Novel Book 21,5,95581.03,38,HP,3.7
22,Kids Toy 22,1,63948.88,997,Sony,4.8
23,LED Monitor 23,2,71800.02,700,Sony,3.7
24,Face Wash 24,12,7929.81,905,Samsung,4.5
25,Protein Powder 25,9,30685.76,940,Puma,4.6
26,Protein Powder 26,6,12734.35,350,HP,3.2
27,Laptop Stand 27,10,38685.99,68,Sony,3.9
28,Wireless Mouse 28,6,45027.42,761,LG,3.6
29,Wireless Mouse 29,3,52206.92,897,HP,4.0
30,Smart Watch 30,6,50062.24,563,Dell,3.4
31,T-Shirt 31,6,9376.4,957,HP,3.5
32,Novel Book 32,5,39877.2,965,HP,3.2
33,Coffee Maker 33,9,20029.98,917,Samsung,3.4
34,T-Shirt 34,4,8601.49,329,Apple,3.7
35,Hair Dryer 35,3,92944.49,833,HP,3.3
36,Backpack 36,8,73082.98,800,Samsung,3.5
37,T-Shirt 37,8,34118.12,941,Nike,4.7
38,Smart Watch 38,10,63514.8,924,Philips,4.2
39,Backpack 39,6,69608.64,130,Samsung,3.7
40,Phone Cover 40,6,95772.56,881,Boat,3.6
41,Coffee Maker 41,8,34369.02,776,Nike,4.6
42,Laptop Stand 42,7,97725.32,68,Boat,3.8
43,Yoga Mat 43,3,85647.52,390,Dell,3.1
44,Cookware Set 44,2,90830.45,519,Philips,3.6
45,Protein Powder 45,1,58638.3,310,Apple,3.9
46,Novel Book 46,4,64718.9,277,LG,4.1
47,Kids Toy 47,4,94883.95,471,HP,4.1
48,Yoga Mat 48,6,95489.98,191,Apple,3.0
49,Backpack 49,12,13275.75,552,Samsung,3.9
50,Hair Dryer 50,3,32651.52,383,Nike,4.2
51,Bluetooth Speaker 51,8,50461.21,936,Philips,4.5
52,Cookware Set 52,12,58052.47,19,Dell,4.5
53,Face Wash 53,12,88783.78,897,Puma,3.6
54,LED Monitor 54,6,42555.15,626,Samsung,4.0
55,Laptop Stand 55,4,4757.45,542,Sony,4.5
56,Air Fryer 56,4,30345.01,891,LG,3.4
57,Air Fryer 57,2,10412.48,632,HP,4.1
58,Coffee Maker 58,9,94094.96,74,Boat,3.8
59,Phone Cover 59,2,6109.17,448,Boat,4.0
60,Smart Watch 60,8,13542.6,956,Nike,5.0
61,Bluetooth Speaker 61,4,91011.41,80,Boat,4.9
62,Wireless Mouse 62,7,65655.72,565,Samsung,3.1
63,Face Wash 63,12,88687.12,878,Boat,4.4
64,Laptop Stand 64,5,11360.68,692,Dell,3.4
65,Wireless Mouse 65,12,36217.13,161,LG,3.4
66,Face Wash 66,9,66275.9,450,Boat,4.1
67,Protein Powder 67,2,98368.72,513,Samsung,3.6
68,Backpack 68,12,72074.56,114,Sony,3.2
69,Kids Toy 69,9,61499.5,460,HP,3.7
70,Kids Toy 70,4,39119.56,53,Apple,4.0
71,Running Shoes 71,10,66477.07,758,Apple,4.6
72,Coffee Maker 72,7,18061.69,134,LG,3.3
73,Wireless Mouse 73,3,78904.49,93,Dell,3.1
74,Smart Watch 74,4,45814.87,964,Nike,4.3
75,Bluetooth Speaker 75,1,15254.58,477,Apple,3.3
76,Bluetooth Speaker 76,6,44003.49,836,Nike,4.6
77,Face Wash 77,7,34211.59,151,Apple,4.4
78,Cookware Set 78,6,66948.53,358,Nike,4.6
79,Bluetooth Speaker 79,9,6553.83,951,Nike,3.6
80,Smart Watch 80,9,79283.11,808,Philips,4.8
81,Hair Dryer 81,5,91624.62,573,Dell,3.7
82,Smart Watch 82,7,87693.39,622,Puma,3.7
83,Wireless Mouse 83,6,50685.61,7,Puma,3.2
84,Laptop Stand 84,10,32631.38,885,Apple,4.5
85,Hair Dryer 85,4,39967.27,699,Apple,3.4
86,Kids Toy 86,7,77824.26,295,HP,5.0
87,Laptop Stand 87,7,2768.81,751,Samsung,4.5
88,Laptop Stand 88,4,36615.46,108,Sony,5.0
89,Jeans 89,2,27117.99,919,Apple,3.7
90,Yoga Mat 90,6,13096.11,425,Apple,4.2
91,Air Fryer 91,9,86422.05,687,HP,3.2
92,Novel Book 92,5,79944.82,658,Puma,3.9
93,Face Wash 93,1,9447.54,120,Philips,3.2
94,Phone Cover 94,7,81779.92,911,Dell,4.9
95,Laptop Stand 95,3,38802.92,430,Nike,3.5
96,Wireless Mouse 96,7,13051.27,872,Apple,3.3
97,Yoga Mat 97,7,16897.99,910,Boat,4.7
98,Gaming Keyboard 98,1,12289.39,587,Boat,3.5
99,Bluetooth Speaker 99,11,67507.89,736,Nike,4.8
100,Cookware Set 100,10,54785.59,682,Dell,5.0
101,Smart Watch 101,5,28560.01,989,Nike,3.9
102,Backpack 102,1,42329.94,891,Sony,3.3
103,Bluetooth Speaker 103,9,22315.43,854,Apple,3.9
104,Coffee Maker 104,7,56977.47,841,Boat,4.4
105,Kids Toy 105,2,94488.99,888,Nike,3.2
106,Bluetooth Speaker 106,9,92589.17,723,Samsung,3.4
107,Bluetooth Speaker 107,3,85545.57,542,Apple,5.0
108,Bluetooth Speaker 108,7,79737.51,909,LG,4.2
109,Novel Book 109,11,18325.8,678,Boat,4.9
110,Running Shoes 110,2,4446.17,160,Sony,4.6
111,T-Shirt 111,5,36542.61,435,Puma,3.6
112,Laptop Stand 112,9,52961.07,681,HP,3.2
113,Wireless Mouse 113,10,60430.33,152,HP,4.5
114,Jeans 114,2,45459.23,675,Nike,4.3
115,Hair Dryer 115,8,3042.14,308,LG,3.7
116,Cookware Set 116,9,76383.02,605,Dell,3.4
117,Bluetooth Speaker 117,6,5333.52,104,LG,4.6
118,LED Monitor 118,11,17802.51,112,Philips,3.1
119,T-Shirt 119,7,97532.59,523,Apple,4.5
120,Backpack 120,9,75619.79,905,HP,4.0
121,Novel Book 121,10,63199.78,431,Puma,3.7
122,Backpack 122,3,23604.27,751,Samsung,4.4
123,Smart Watch 123,6,93336.11,148,Sony,4.6
124,Laptop Stand 124,11,68620.61,767,Sony,4.5
125,Face Wash 125,9,95286.07,192,LG,4.0
126,Wireless Mouse 126,8,15661.08,363,HP,4.3
127,Face Wash 127,2,42745.01,874,LG,3.8
128,Bluetooth Speaker 128,11,42995.04,431,Apple,5.0
129,Phone Cover 129,8,1545.33,43,Dell,3.7
130,Face Wash 130,12,54869.75,694,HP,4.0
131,T-Shirt 131,12,34181.18,244,Samsung,3.4
132,Phone Cover 132,4,81587.82,861,LG,3.9
133,Wireless Mouse 133,6,94611.37,956,Sony,3.5
134,Kids Toy 134,9,31144.96,78,Dell,3.4
135,Bluetooth Speaker 135,2,55884.75,534,Samsung,4.2
136,Air Fryer 136,7,40029.02,516,Apple,4.6
137,Laptop Stand 137,6,22965.62,719,Boat,4.5
138,Running Shoes 138,7,7417.18,526,Boat,3.2
139,Yoga Mat 139,2,69272.37,382,Sony,3.4
140,Gaming Keyboard 140,7,81829.87,675,LG,4.9
141,LED Monitor 141,8,71491.69,429,Samsung,3.2
142,Cookware Set 142,9,39318.63,858,Dell,3.7
143,Gaming Keyboard 143,6,60608.51,128,Samsung,3.9
144,Air Fryer 144,6,3393.68,214,Puma,3.6
145,Cookware Set 145,3,32047.17,488,Dell,3.5
146,Bluetooth Speaker 146,10,47143.73,164,Nike,3.7
147,Backpack 147,9,22241.57,324,Sony,3.4
148,Backpack 148,6,47655.43,462,LG,4.6
149,Yoga Mat 149,7,71995.75,305,Apple,4.3
150,Phone Cover 150,2,90656.33,630,Dell,3.8
151,T-Shirt 151,10,53086.2,243,Samsung,3.3
152,LED Monitor 152,9,44470.16,629,Puma,4.2
153,Cookware Set 153,3,90857.76,248,Boat,4.6
154,Gaming Keyboard 154,10,38619.31,69,Dell,3.9
155,Smart Watch 155,3,34494.68,607,Sony,3.3
156,Cookware Set 156,7,15532.8,470,Puma,4.2
157,Jeans 157,4,29740.68,607,Philips,3.1
158,Cookware Set 158,4,61150.16,31,Sony,3.3
159,Novel Book 159,10,66614.42,170,Dell,3.1
160,Face Wash 160,1,34808.22,90,Sony,4.8
161,LED Monitor 161,3,9540.92,574,HP,3.1
162,Face Wash 162,11,10292.2,917,Sony,3.5
163,Cookware Set 163,3,45111.46,135,Philips,3.7
164,Protein Powder 164,1,61586.85,323,Boat,3.9
165,Jeans 165,3,91451.17,152,Nike,3.5
166,Phone Cover 166,9,14711.05,700,Philips,4.4
167,Coffee Maker 167,3,52990.44,242,LG,4.8
168,Running Shoes 168,2,30334.7,186,Samsung,4.0
169,Protein Powder 169,4,55296.08,824,Nike,4.6
170,LED Monitor 170,12,99513.77,84,Puma,3.5
171,Cookware Set 171,5,23683.37,160,Philips,3.4
172,Coffee Maker 172,1,66051.04,922,Apple,3.8
173,Cookware Set 173,8,7193.29,481,Dell,4.0
174,LED Monitor 174,9,31081.53,783,LG,4.3
175,Smart Watch 175,5,33480.75,456,LG,4.7
176,Running Shoes 176,12,49556.44,364,Dell,4.7
177,Face Wash 177,6,96004.09,724,Puma,3.5
178,Air Fryer 178,2,10439.35,664,Dell,3.7
179,Phone Cover 179,8,38801.18,187,Nike,3.4
180,Novel Book 180,4,72140.57,778,Sony,4.6
181,Hair Dryer 181,4,73707.66,443,Dell,3.8
182,Yoga Mat 182,10,36686.94,906,Boat,4.1
183,LED Monitor 183,11,65265.46,728,Nike,5.0
184,Face Wash 184,11,59820.83,163,Philips,3.7
185,Jeans 185,6,96956.38,8,LG,3.7
186,Bluetooth Speaker 186,4,2383.01,141,Puma,3.4
187,Laptop Stand 187,11,77004.44,939,Sony,3.5
188,Smart Watch 188,3,64468.88,807,Boat,4.1
189,Bluetooth Speaker 189,7,56372.14,270,Dell,4.6
190,Gaming Keyboard 190,4,74084.1,453,Puma,4.8
191,Kids Toy 191,3,96450.94,289,LG,4.1
192,Backpack 192,10,4123.93,249,Sony,3.9
193,LED Monitor 193,4,10383.32,511,Samsung,4.8
194,Jeans 194,10,91270.71,387,Sony,4.9
195,Face Wash 195,1,68891.94,72,Apple,4.0
196,Air Fryer 196,8,53799.06,513,Puma,4.3
197,Coffee Maker 197,6,80084.06,830,Nike,4.0
198,Coffee Maker 198,4,3587.64,698,HP,4.8
199,Cookware Set 199,5,86096.38,298,Sony,4.1
200,Protein Powder 200,6,12726.03,161,Apple,4.9
201,Face Wash 201,6,10724.99,453,Samsung,4.4
202,Wireless Mouse 202,6,61449.16,873,Philips,3.1
203,Jeans 203,7,95550.94,797,Dell,4.3
204,Laptop Stand 204,11,19671.6,791,Puma,4.3
205,Face Wash 205,8,58870.7,322,Nike,4.2
206,Cookware Set 206,8,58393.08,789,Puma,4.8
207,Backpack 207,6,50983.05,380,Sony,3.9
208,Air Fryer 208,2,64614.75,152,Boat,4.5
209,Kids Toy 209,7,68061.7,664,Nike,3.4
210,Wireless Mouse 210,4,65092.92,180,Philips,3.3
211,Face Wash 211,7,13766.28,601,HP,3.8
212,Coffee Maker 212,1,6478.36,998,Philips,4.9
213,Jeans 213,4,95596.59,689,Sony,3.5
214,Backpack 214,6,33814.05,693,Boat,3.8
215,Gaming Keyboard 215,9,97512.9,669,Boat,5.0
216,Laptop Stand 216,10,42398.38,340,Nike,3.7
217,T-Shirt 217,10,68166.23,194,Boat,4.3
218,Phone Cover 218,12,11072.88,514,Samsung,4.2
219,Bluetooth Speaker 219,7,6362.2,737,Apple,3.3
220,Coffee Maker 220,5,24279.97,774,Nike,3.9
221,Bluetooth Speaker 221,2,50736.46,493,Dell,4.1
222,Laptop Stand 222,12,95364.66,764,LG,4.2
223,Jeans 223,4,11584.98,116,LG,3.1
224,Kids Toy 224,11,87580.08,151,LG,4.2
225,Face Wash 225,9,14075.86,233,Nike,3.3
226,Yoga Mat 226,10,30712.35,252,Nike,3.0
227,Yoga Mat 227,6,91750.99,998,Apple,3.5
228,Cookware Set 228,1,80379.57,724,Puma,3.2
229,Air Fryer 229,11,79312.31,410,Nike,3.7
230,Novel Book 230,8,86034.41,219,HP,3.9
231,Bluetooth Speaker 231,2,78258.48,61,Apple,3.2
232,Backpack 232,7,19774.79,864,HP,4.4
233,Wireless Mouse 233,9,72532.75,213,Dell,4.5
234,Smart Watch 234,3,95361.43,882,Philips,3.3
235,T-Shirt 235,11,69640.36,880,Puma,3.1
236,Phone Cover 236,1,86545.09,286,HP,3.2
237,LED Monitor 237,11,72923.97,687,LG,3.7
238,Smart Watch 238,8,66932.37,806,Philips,4.8
239,Jeans 239,10,31005.03,763,HP,4.8
240,Backpack 240,11,64315.2,964,Philips,4.9
241,Laptop Stand 241,4,77806.94,807,LG,3.6
242,Gaming Keyboard 242,8,87546.74,259,LG,3.8
243,Protein Powder 243,5,32302.08,781,HP,4.4
244,Yoga Mat 244,11,87788.53,610,HP,4.5
245,Air Fryer 245,2,43981.72,135,Sony,4.0
246,LED Monitor 246,3,96693.4,477,Apple,4.7
247,Yoga Mat 247,3,80202.36,92,Apple,4.2
248,T-Shirt 248,5,33853.0,328,Boat,3.6
249,Face Wash 249,10,75001.35,913,HP,3.8
250,LED Monitor 250,11,3585.7,888,Nike,3.6
251,Hair Dryer 251,4,45754.83,219,Nike,4.7
252,Laptop Stand 252,9,86484.37,312,Sony,3.6
253,Cookware Set 253,2,40430.86,846,Nike,3.8
254,Phone Cover 254,3,877.98,520,Philips,3.0
255,Face Wash 255,8,43639.92,838,Puma,3.6
256,Bluetooth Speaker 256,12,89469.61,999,LG,3.5
257,Bluetooth Speaker 257,6,29393.04,997,Sony,4.8
258,LED Monitor 258,12,66725.81,911,Philips,3.1
259,Phone Cover 259,3,2310.4,570,Sony,3.2
260,Laptop Stand 260,9,85409.55,944,HP,4.7
261,Wireless Mouse 261,1,87935.31,253,LG,4.9
262,Air Fryer 262,9,35932.83,715,Boat,4.7
263,Running Shoes 263,1,84519.82,624,Puma,3.4
264,Protein Powder 264,10,63176.36,766,HP,4.2
265,Hair Dryer 265,3,17415.61,930,Puma,4.6
266,Backpack 266,1,40302.71,147,Dell,4.2
267,Hair Dryer 267,8,71969.81,862,Sony,4.6
268,Face Wash 268,10,47231.48,338,Apple,4.8
269,Kids Toy 269,11,72240.45,213,Puma,4.0
270,LED Monitor 270,1,76497.72,778,Philips,4.6
271,Backpack 271,8,22257.88,880,Boat,3.2
272,Hair Dryer 272,10,37720.04,111,Nike,3.4
273,Face Wash 273,9,77913.54,661,HP,4.8
274,Coffee Maker 274,3,25861.82,298,Sony,4.2
275,Wireless Mouse 275,5,55974.84,450,Apple,3.0
276,Protein Powder 276,7,97108.17,914,Philips,4.7
277,T-Shirt 277,5,95632.94,789,LG,3.8
278,Laptop Stand 278,2,91722.76,693,Apple,3.7
279,Bluetooth Speaker 279,12,85204.9,10,Boat,5.0
280,Jeans 280,11,92711.7,108,Nike,3.6
281,Kids Toy 281,10,75129.33,589,Sony,3.6
282,Laptop Stand 282,9,47741.3,880,HP,3.1
283,Cookware Set 283,5,38982.48,674,Apple,4.1
284,Kids Toy 284,12,8616.99,270,Apple,4.1
285,Bluetooth Speaker 285,9,96552.92,976,HP,4.4
286,Phone Cover 286,9,4565.25,295,Puma,4.8
287,Hair Dryer 287,7,27314.07,189,HP,3.4
288,Coffee Maker 288,10,45915.63,425,Nike,3.0
289,Yoga Mat 289,7,61820.13,58,Dell,3.6
290,Bluetooth Speaker 290,4,48140.43,921,Dell,4.4
291,Kids Toy 291,6,86506.72,377,Philips,4.9
292,Bluetooth Speaker 292,2,64040.06,650,Philips,3.4
293,Novel Book 293,5,19133.02,723,Dell,4.8
294,Face Wash 294,8,28630.21,558,HP,4.8
295,Face Wash 295,6,68778.75,787,Philips,3.7
296,LED Monitor 296,12,35625.4,510,LG,4.7
297,T-Shirt 297,10,64497.95,923,Boat,4.1
298,Hair Dryer 298,5,95724.11,940,LG,3.1
299,Cookware Set 299,2,12508.06,987,LG,3.7
300,Kids Toy 300,12,6930.27,818,Nike,3.7
301,LED Monitor 301,2,96437.47,687,Boat,3.1
302,Phone Cover 302,12,17493.21,936,Nike,3.1
303,Coffee Maker 303,9,16076.43,52,Samsung,5.0
304,Hair Dryer 304,3,77865.21,256,Dell,3.1
305,Face Wash 305,8,80902.41,358,Sony,3.6
306,Smart Watch 306,7,92659.47,884,HP,3.2
307,Yoga Mat 307,10,86776.19,794,HP,3.1
308,Hair Dryer 308,12,61478.03,364,Sony,4.4
309,Phone Cover 309,9,41057.53,60,Samsung,3.5
310,Laptop Stand 310,1,85983.31,792,Nike,3.4
311,Gaming Keyboard 311,5,60130.29,415,LG,4.6
312,Phone Cover 312,8,31224.19,99,Sony,3.8
313,Face Wash 313,2,59930.42,439,Dell,4.0
314,Protein Powder 314,6,35288.27,367,Apple,4.3
315,Protein Powder 315,12,8365.81,536,Puma,4.1
316,Novel Book 316,12,49077.53,584,Apple,4.1
317,Wireless Mouse 317,3,41603.02,761,Boat,4.5
318,Air Fryer 318,5,30919.33,794,Dell,4.8
319,Air Fryer 319,8,88993.04,596,LG,3.7
320,Protein Powder 320,2,27680.08,248,Nike,4.5
321,Coffee Maker 321,12,55249.42,593,Boat,4.4
322,Backpack 322,3,44877.28,345,Samsung,3.0
323,Bluetooth Speaker 323,5,9424.8,533,Sony,3.7
324,Yoga Mat 324,11,92769.15,679,Apple,4.5
325,Smart Watch 325,10,7185.57,997,Dell,4.0
326,Coffee Maker 326,10,61471.22,872,LG,3.6
327,Coffee Maker 327,9,8665.84,871,Puma,3.3
328,Protein Powder 328,5,57860.88,927,Samsung,3.2
329,Face Wash 329,10,46447.9,822,Samsung,4.6
330,Face Wash 330,3,38006.0,957,Philips,3.1
331,Novel Book 331,7,11855.48,60,Samsung,4.8
332,Hair Dryer 332,4,17387.88,685,HP,3.5
333,Kids Toy 333,6,57859.16,436,Philips,3.9
334,Air Fryer 334,2,1873.56,438,Puma,3.1
335,Yoga Mat 335,7,16030.95,355,Boat,3.3
336,Smart Watch 336,3,61747.04,321,Nike,5.0
337,LED Monitor 337,8,52870.84,841,HP,4.1
338,Air Fryer 338,6,25518.49,380,HP,3.5
339,Kids Toy 339,11,1870.35,824,LG,3.1
340,Wireless Mouse 340,2,82581.64,215,Nike,4.4
341,Laptop Stand 341,2,80891.51,771,Nike,4.1
342,Air Fryer 342,1,1615.29,979,HP,4.6
343,Laptop Stand 343,11,11232.45,704,Philips,3.4
344,Coffee Maker 344,8,18630.57,41,Apple,4.0
345,Kids Toy 345,4,70535.97,100,Philips,4.5
346,LED Monitor 346,6,33671.29,43,Samsung,4.4
347,Air Fryer 347,5,56331.12,946,LG,3.5
348,Backpack 348,12,59950.45,549,Dell,4.4
349,Wireless Mouse 349,6,36416.03,467,Puma,4.1
350,Smart Watch 350,1,41020.94,26,Sony,4.9
351,Phone Cover 351,1,47707.19,671,LG,4.3
352,Laptop Stand 352,7,63216.35,407,Philips,4.8
353,Kids Toy 353,12,61550.26,884,LG,4.1
354,Kids Toy 354,6,37337.02,632,Puma,4.8
355,Novel Book 355,9,31962.09,286,Boat,4.5
356,T-Shirt 356,3,59506.38,35,Sony,4.9
357,Novel Book 357,2,77823.58,818,LG,4.4
358,Gaming Keyboard 358,5,32292.37,592,Apple,3.5
359,Laptop Stand 359,9,28040.0,371,Samsung,4.0
360,Gaming Keyboard 360,9,75996.69,367,Sony,4.7
361,Bluetooth Speaker 361,1,74071.6,629,Boat,4.3
362,Air Fryer 362,10,96604.76,284,Sony,4.3
363,T-Shirt 363,4,99701.61,491,Apple,4.4
364,Wireless Mouse 364,1,47354.12,337,LG,4.3
365,T-Shirt 365,8,59822.82,665,Dell,4.8
366,Novel Book 366,2,63960.52,303,Philips,4.5
367,LED Monitor 367,12,22980.09,686,Sony,3.2
368,Air Fryer 368,5,27480.09,717,Puma,3.5
369,Gaming Keyboard 369,3,48351.41,105,Puma,3.3
370,Bluetooth Speaker 370,10,40231.97,506,Apple,4.3
371,Face Wash 371,8,37590.21,79,Nike,4.7
372,Cookware Set 372,6,40362.81,566,Nike,3.8
373,Phone Cover 373,8,88340.02,770,LG,5.0
374,LED Monitor 374,12,36396.96,494,Apple,4.5
375,Backpack 375,5,22034.1,733,LG,4.3
376,Phone Cover 376,9,49641.02,918,Samsung,3.9
377,Jeans 377,9,28840.77,829,Philips,3.2
378,Protein Powder 378,2,99507.05,272,Samsung,3.1
379,Running Shoes 379,5,24499.3,550,Apple,3.3
380,Air Fryer 380,1,71013.2,939,Nike,4.5
381,Gaming Keyboard 381,8,32113.75,117,Apple,4.9
382,Phone Cover 382,3,7646.86,243,Samsung,4.5
383,Laptop Stand 383,12,629.16,882,Apple,3.4
384,Gaming Keyboard 384,5,49773.08,860,Apple,3.2
385,Jeans 385,6,75964.46,410,LG,4.2
386,Coffee Maker 386,2,29660.25,863,Nike,4.2
387,Cookware Set 387,2,14109.25,888,Samsung,3.8
388,LED Monitor 388,3,43545.23,385,Boat,4.2
389,T-Shirt 389,4,77158.89,194,LG,4.5
390,Protein Powder 390,6,98234.0,64,Boat,4.7
391,T-Shirt 391,5,99837.15,411,HP,4.8
392,Face Wash 392,2,85926.29,897,Samsung,3.3
393,Face Wash 393,3,47898.65,610,Nike,4.0
394,Yoga Mat 394,8,27918.68,928,LG,4.7
395,Novel Book 395,8,80619.12,774,Apple,3.5
396,Running Shoes 396,11,57377.15,236,HP,4.2
397,Bluetooth Speaker 397,10,76001.06,962,Nike,3.5
398,LED Monitor 398,2,72831.07,717,LG,3.0
399,Hair Dryer 399,9,45090.4,654,Dell,4.8
400,Yoga Mat 400,9,94021.94,740,Dell,3.7
401,Novel Book 401,12,192.92,267,Puma,3.7
402,Backpack 402,1,57812.98,289,Philips,4.4
403,Smart Watch 403,5,11823.6,440,LG,4.4
404,Air Fryer 404,9,73514.36,326,Sony,4.3
405,T-Shirt 405,4,64055.28,740,LG,4.2
406,Wireless Mouse 406,10,64610.78,980,Nike,4.7
407,LED Monitor 407,8,34677.47,162,LG,3.2
408,Cookware Set 408,3,56141.0,691,HP,4.5
409,LED Monitor 409,12,78054.09,432,Sony,4.9
410,Face Wash 410,5,63532.02,815,Apple,4.7
411,Novel Book 411,9,95429.89,67,LG,4.7
412,Jeans 412,1,73332.41,643,Apple,4.3
413,Protein Powder 413,12,16218.24,902,Boat,3.5
414,Laptop Stand 414,9,36266.6,334,HP,3.6
415,Wireless Mouse 415,11,78372.7,385,Samsung,4.7
416,Face Wash 416,5,13156.73,862,Boat,3.7
417,T-Shirt 417,3,79823.28,999,Philips,4.0
418,Jeans 418,7,72870.82,572,Samsung,4.5
419,Novel Book 419,12,79177.24,444,Apple,4.9
420,Backpack 420,1,22185.28,936,Boat,4.4
421,Hair Dryer 421,4,9588.28,292,LG,3.6
422,Laptop Stand 422,10,25427.27,338,Puma,4.3
423,Jeans 423,5,23308.03,786,Samsung,4.7
424,Phone Cover 424,2,91202.74,944,Nike,3.9
425,Running Shoes 425,1,94922.91,967,Puma,4.1
426,LED Monitor 426,4,18699.77,51,Sony,4.6
427,Backpack 427,12,81023.28,28,HP,4.8
428,Smart Watch 428,4,22672.26,603,Dell,3.5
429,Jeans 429,2,87873.3,968,HP,4.3
430,Bluetooth Speaker 430,1,21679.78,495,Apple,4.2
431,Wireless Mouse 431,3,26623.84,177,Nike,4.8
432,LED Monitor 432,8,21390.64,706,Apple,3.1
433,Kids Toy 433,10,38487.49,823,Samsung,3.5
434,Air Fryer 434,9,71335.33,991,Samsung,5.0
435,LED Monitor 435,3,88704.07,255,Philips,3.3
436,Air Fryer 436,3,79240.85,425,Philips,4.4
437,Kids Toy 437,2,12106.81,349,LG,3.2
438,Cookware Set 438,6,79083.21,175,Sony,4.2
439,Running Shoes 439,10,67049.99,802,Puma,4.9
440,Coffee Maker 440,7,52966.81,96,LG,3.3
441,Smart Watch 441,9,39770.01,997,Apple,4.9
442,Wireless Mouse 442,8,6003.15,229,Apple,5.0
443,Bluetooth Speaker 443,9,94459.33,276,Apple,3.5
444,Laptop Stand 444,3,71528.3,741,LG,3.3
445,Air Fryer 445,10,65461.32,219,Sony,3.4
446,Face Wash 446,7,51028.38,309,Philips,4.1
447,Smart Watch 447,1,17656.35,214,Nike,3.3
448,Gaming Keyboard 448,1,44804.78,965,Sony,4.0
449,LED Monitor 449,4,61636.35,203,HP,3.8
450,Bluetooth Speaker 450,1,3087.07,384,Dell,4.7
451,Backpack 451,3,15978.82,805,Sony,3.8
452,Hair Dryer 452,6,19206.73,573,Sony,4.9
453,Protein Powder 453,6,76286.86,388,Philips,4.7
454,Running Shoes 454,9,50308.06,567,HP,4.7
455,Protein Powder 455,5,80715.33,155,Boat,3.7
456,Bluetooth Speaker 456,12,21223.24,860,Puma,3.6
457,Hair Dryer 457,8,570.33,39,Samsung,4.1
458,Bluetooth Speaker 458,11,10979.27,395,HP,5.0
459,Gaming Keyboard 459,10,13891.72,82,Sony,3.7
460,Kids Toy 460,1,28565.6,486,Nike,4.2
461,Cookware Set 461,8,895.61,474,LG,4.0
462,Gaming Keyboard 462,3,40195.29,641,Philips,4.6
463,Yoga Mat 463,6,9187.29,962,Boat,3.6
464,Running Shoes 464,10,76039.04,916,HP,3.8
465,Laptop Stand 465,3,47343.73,805,HP,4.7
466,Gaming Keyboard 466,1,30552.86,434,Boat,4.0
467,Jeans 467,6,75516.74,332,Boat,3.3
468,Face Wash 468,11,19644.05,68,Samsung,4.9
469,Novel Book 469,4,5266.91,794,Boat,4.0
470,LED Monitor 470,6,26848.73,772,HP,4.1
471,Wireless Mouse 471,10,23549.35,157,Philips,3.3
472,T-Shirt 472,8,56067.33,877,Samsung,3.1
473,Cookware Set 473,9,39988.46,323,Apple,3.0
474,Face Wash 474,9,50113.56,763,Dell,3.9
475,Hair Dryer 475,10,41303.01,430,Puma,4.0
476,Air Fryer 476,2,4704.39,646,Dell,4.4
