return_id,order_id,return_reason,refund_amount,return_date
1,24959,Wrong Item,26765.24,2025-01-18
2,18017,Damaged Product,26194.76,2026-04-01
3,9164,Changed Mind,7804.52,2024-09-17
4,27904,Changed Mind,46744.99,2025-08-29
5,21553,Damaged Product,26990.23,2026-03-13
6,2189,Quality Issue,19747.73,2026-01-25
7,20856,Changed Mind,30763.5,2026-02-09
8,22583,Damaged Product,19162.51,2025-05-15
9,25534,Damaged Product,36931.11,2024-08-31
10,25091,Late Delivery,13343.44,2026-01-15
11,14483,Late Delivery,40372.04,2025-04-09
12,27988,Damaged Product,33463.06,2024-12-19
13,16726,Damaged Product,2908.15,2025-01-16
14,41388,Quality Issue,11639.17,2026-01-09
15,49969,Changed Mind,1463.26,2025-05-11
16,46620,Damaged Product,11949.02,2024-09-07
17,34155,Damaged Product,46444.13,2025-07-07
18,36583,Damaged Product,32086.12,2024-10-22
19,40042,Wrong Item,37381.81,2024-08-22
20,17767,Quality Issue,24386.29,2026-02-03
21,18433,Late Delivery,4204.72,2024-12-29
22,27568,Changed Mind,25790.13,2025-04-26
23,22014,Damaged Product,941.23,2026-01-16
24,32016,Wrong Item,21258.19,2025-05-13
25,2476,Wrong Item,24317.97,2025-12-18
26,19289,Late Delivery,46337.36,2024-08-06
27,34226,Damaged Product,45557.02,2025-04-30
28,18587,Wrong Item,31772.24,2025-08-23
29,18436,Late Delivery,23633.95,2024-05-31
30,42220,Wrong Item,32787.28,2025-05-06
31,47622,Quality Issue,47037.79,2025-12-08
32,11913,Late Delivery,1667.73,2024-09-17
33,33066,Wrong Item,20573.4,2025-05-28
34,26504,Wrong Item,46031.98,2026-02-17
35,33917,Late Delivery,20038.4,2025-07-13
36,49831,Quality Issue,37258.62,2025-02-03
37,5610,Quality Issue,33010.2,2025-09-11
38,44381,Wrong Item,2876.96,2025-04-11
39,46173,Late Delivery,38438.77,2024-08-31
40,49715,Late Delivery,41460.12,2024-05-27
41,41858,Wrong Item,13911.66,2025-02-17
42,43422,Late Delivery,27695.87,2026-05-20
43,18218,Wrong Item,16258.08,2024-10-06
44,12818,Late Delivery,20110.58,2025-09-04
45,17177,Late Delivery,20941.72,2025-08-11
46,15176,Changed Mind,40174.77,2024-12-11
47,18044,Late Delivery,17738.67,2025-11-02
48,43828,Changed Mind,37312.87,2026-01-13
49,19398,Changed Mind,45967.77,2024-12-02
50,32719,Wrong Item,11692.6,2025-10-23
51,46835,Late Delivery,43032.07,2026-04-03
